Channel,Time
88,1536.1040 
285,1537.1654 
372,1544.1035 
181,1545.1626 
152,1549.1010 
674,1556.1117 
330,1560.1727 
244,1561.1007 
269,1563.1574 
375,1566.1723 
536,1575.1019 
824,1576.1027 
494,1581.1734 
487,1584.1730 
129,1585.1092 
225,1586.1683 
154,1587.1545 
216,1591.1041 
4095,1592.1085 
943,1597.1724 
388,1600.1726 
230,1601.0948 
188,1606.1137 
828,1607.1690 
1343,1608.1084 
383,1615.1714 
432,1616.1131 
212,1626.1764 
639,1628.1722 
194,1629.1731 
1366,1633.1707 
197,1635.1636 
237,1636.1153 
208,1639.1111 
289,1640.1784 
1420,1646.1215 
119,1649.1726 
241,1650.1144 
828,1651.1723 
579,1654.2146 
224,1655.1640 
487,1659.1715 
370,1666.2252 
377,1672.1267 
295,1676.1164 
458,1677.1210 
224,1678.1105 
658,1680.1286 
403,1682.1241 
116,1686.1144 
434,1692.1212 
258,1693.1388 
823,1694.1212 
703,1698.1114 
1301,1700.1193 
437,1701.1190 
242,1702.1111 
342,1703.1107 
149,1704.1101 
1361,1705.1089 
131,1706.1142 
591,1707.1150 
131,1708.1188 
564,1709.1173 
870,1709.1173 
85,1724.1234 
884,1728.1210 
228,1729.1151 
698,1730.1692 
439,1736.1211 
440,1739.1189 
161,1740.1204 
567,1748.1219 
656,1749.1196 
2727,1758.1474 
412,1770.2297 
1838,1773.1974 
162,1777.2169 
240,1782.2437 
572,1788.1932 
246,1792.1264 
1324,1793.2624 
359,1794.1293 
225,1795.2001 
1382,1796.2249 
395,1797.2068 
214,1798.1792 
251,1800.2690 
754,1801.2292 
424,1802.1186 
473,1803.2280 
1346,1804.1256 
1238,1805.1987 
155,1806.3713 
465,1807.2419 
639,1808.2305 
901,1809.2656 
1295,1814.1256 
1321,1815.1262 
763,1816.1267 
826,1817.2548 
858,1818.1717 
1291,1819.2659 
424,1820.1711 
386,1822.1746 
209,1823.1359 
150,1824.1906 
232,1826.1317 
173,1830.2864 
1316,1831.2094 
506,1837.1996 
419,1842.2349 
343,1843.1951 
355,1844.2343 
1342,1847.2623 
399,1860.2512 
469,1862.1508 
1361,1868.1313 
346,1879.1246 
107,1884.1306 
474,1891.1299 
434,1898.1350 
325,1904.1854 
131,1905.2512 
233,1912.1346 
228,1915.3069 
500,1919.1321 
131,1923.1335 
2108,1925.1364 
1250,1926.1641 
251,1927.4356 
361,1930.1327 
348,1931.1555 
499,1932.1356 
1319,1933.1286 
146,1942.1807 
308,1943.1587 
1407,1944.1780 
985,1946.1944 
1276,1947.1610 
282,1952.1729 
638,1957.1736 
468,1958.1645 
156,1960.1730 
388,1962.1832 
489,1966.1465 
372,1967.1511 
205,1969.2304 
1366,1973.1422 
171,1974.1478 
351,1975.1334 
340,1977.4411 
305,1979.4838 
665,1981.3015 
868,1983.1373 
372,1984.1443 
1799,1985.1437 
1275,1992.1459 
401,1995.1437 
396,1999.1448 
795,2000.2010 
153,2010.2071 
236,2011.1372 
603,2012.1945 
371,2013.1410 
534,2018.2029 
315,2020.1487 
434,2024.1746 
165,2028.2301 
1384,2029.1710 
113,2034.2306 
1006,2035.2171 
411,2036.2302 
1395,2037.2267 
322,2041.2278 
405,2042.2283 
559,2044.1858 
2087,2045.1797 
214,2046.2566 
161,2047.1793 
1219,2049.2311 
632,2050.2290 
205,2052.1818 
433,2055.2292 
229,2056.1741 
1187,2061.2322 
914,2062.1939 
669,2064.2333 
130,2068.2444 
994,2069.1744 
166,2070.1653 
1576,2073.1983 
412,2077.1681 
447,2078.1666 
1295,2079.1955 
656,2080.1797 
408,2081.1782 
763,2085.1878 
1325,2086.1927 
819,2087.1728 
1293,2088.1775 
873,2091.1876 
1106,2092.1803 
2292,2093.1791 
459,2097.1808 
392,2100.1982 
193,2105.1955 
792,2113.1701 
165,2114.2201 
168,2116.1677 
359,2117.1580 
576,2119.1632 
1396,2120.1574 
510,2128.1531 
412,2130.1580 
270,2131.1580 
866,2132.1577 
174,2133.1600 
